profile_id,sound_meaning
OHE-00125,굳을
OHE-00126,벼슬
OHE-00127,볕
OHE-00128,공경할
OHE-00129,길
OHE-00130,줄기
OHE-00131,가벼울
OHE-00132,좁은길
OHE-00133,지경
OHE-00134,경사
OHE-00135,깨달을
OHE-00136,밝을
OHE-00137,"떠받칠,높이들"
OHE-00138,옥빛
OHE-00139,거울
OHE-00140,고래
OHE-00141,겨룰
OHE-00142,경계할
OHE-00143,아름다운옥
OHE-00144,경계할
OHE-00145,이을
OHE-00146,끝
OHE-00147,걸릴(관계될)
OHE-00148,맺을
OHE-00149,셈할
OHE-00150,열째천간
OHE-00151,지경
OHE-00152,계수나무
OHE-00153,일깨울
OHE-00154,경계할
OHE-00155,시내
OHE-00156,섬돌
OHE-00157,이을
OHE-00158,닭
OHE-00159,두드릴
OHE-00160,옛
OHE-00161,알릴
OHE-00162,굳을
OHE-00163,상고할
OHE-00164,시어머니
OHE-00165,마를
OHE-00166,곳집
OHE-00167,높을
OHE-00168,언덕
OHE-00169,북
OHE-00170,두드릴
OHE-00171,"볏짚,원고"
OHE-00172,돌아볼
OHE-00173,굽을
OHE-00174,굴
OHE-00175,곡식
OHE-00176,땅
OHE-00177,형(맏)
OHE-00178,산이름
OHE-00179,옥돌
OHE-00180,뼈
OHE-00181,장인
OHE-00182,"공변될,존칭"
OHE-00183,구멍
OHE-00184,공로
OHE-00185,함께
OHE-00186,칠
OHE-00187,"허공,빌"
OHE-00188,이바지할
OHE-00189,공손할
OHE-00190,바칠
OHE-00191,크고둥근옥
OHE-00192,당길
OHE-00193,창
OHE-00194,오이
OHE-00195,과실
OHE-00196,과정
OHE-00197,자랑할
OHE-00198,과자
OHE-00199,매길
OHE-00200,지날
OHE-00201,둘레
OHE-00202,성곽
OHE-00203,벼슬
OHE-00204,갓
OHE-00205,꿸
OHE-00206,정성
OHE-00207,옥피리
OHE-00208,다스릴
OHE-00209,너그러울
OHE-00210,익술할
OHE-00211,객사
OHE-00212,빗장
OHE-00213,물댈
OHE-00214,서옥
OHE-00215,볼
OHE-00216,묶을
OHE-00217,바룰
OHE-00218,빛
OHE-00219,밝을
OHE-00220,클
OHE-00221,물용솟음칠
OHE-00222,옥피리
OHE-00223,넓을
OHE-00224,밝을
OHE-00225,쇳돌
OHE-00226,걸
OHE-00227,흙덩이
OHE-00228,클
OHE-00229,공교로울
OHE-00230,사귈
OHE-00231,학교
OHE-00232,가르칠
OHE-00233,높을
OHE-00234,들
OHE-00235,비교할
OHE-00236,아리따울
OHE-00237,다리
OHE-00238,바로잡을
OHE-00239,오랠
OHE-00240,입
OHE-00241,글괴
OHE-00242,언덕
OHE-00243,구할
OHE-00244,궁구할
OHE-00245,갖출
OHE-00246,언덕
OHE-00247,옥돌
OHE-00248,구기자
OHE-00249,아홉
OHE-00250,"자,법"
OHE-00251,함께
OHE-00252,구역
OHE-00253,구원할
OHE-00254,오래살
OHE-00255,진실로
OHE-00256,"공,구슬"
OHE-00257,언덕
OHE-00258,비둘기
OHE-00259,꾸밀
OHE-00260,도랑
OHE-00261,끌
OHE-00262,나라이름
OHE-00263,살
OHE-00264,몸
OHE-00265,옛
OHE-00266,달릴
OHE-00267,갈매기
OHE-00268,판
OHE-00269,나라
OHE-00270,국화
OHE-00271,공
OHE-00272,임금
OHE-00273,군사
OHE-00274,무리
OHE-00275,굽을
OHE-00276,굴
OHE-00277,활
OHE-00278,몸소
OHE-00279,집
OHE-00280,문서
OHE-00281,책
OHE-00282,주먹
OHE-00283,돌볼
OHE-00284,둘레
OHE-00285,권할
OHE-00286,권세
OHE-00287,대궐
OHE-00288,길
OHE-00289,귀할
OHE-00290,거북
OHE-00291,돌아갈
OHE-00292,부르짖을
OHE-00293,홀
OHE-00294,별
OHE-00295,법
OHE-00296,홀
OHE-00297,헤아릴
OHE-00298,"도장방,규방"
OHE-00299,큰길
OHE-00300,해바라기
OHE-00301,엿볼
OHE-00302,고를
OHE-00303,밭일굴
OHE-00304,무게단위
OHE-00305,버섯
OHE-00306,이길
OHE-00307,이길
OHE-00308,지극할
OHE-00309,연극
OHE-00310,틈
OHE-00311,"도끼,근"
OHE-00312,"힘,강할"
OHE-00313,뿌리
OHE-00314,가까울
OHE-00315,겨우
OHE-00316,부지런할
OHE-00317,"고울,여자이름"
OHE-00318,맑을
OHE-00319,무궁화나무
OHE-00320,아름다운옥
OHE-00321,삼갈
OHE-00322,이제
OHE-00323,밝을
OHE-00324,쇠
OHE-00325,이불
OHE-00326,거문고
OHE-00327,비단
OHE-00328,옷깃
OHE-00329,미칠
OHE-00330,물길을
OHE-00331,등그
OHE-00332,줄
OHE-00333,뻗칠
OHE-00334,자랑할
OHE-00335,"긍정할,즐길"
OHE-00336,삼갈
OHE-00337,몸
OHE-00338,바랄
OHE-00339,재주
OHE-00340,갈림길
OHE-00341,경기(京畿)
OHE-00342,구기자나무
OHE-00343,그
OHE-00344,기이할
OHE-00345,김
OHE-00346,물이름
OHE-00347,재주
OHE-00348,패옥(노리개)
OHE-00349,"벼리,규율"
OHE-00350,빌
OHE-00351,"기록할,문서"
OHE-00352,기운
OHE-00353,늙은이
OHE-00354,어찌
OHE-00355,일어날
OHE-00356,낭떠러지
OHE-00357,"부칠,의뢰할"
OHE-00358,이미
OHE-00359,터
OHE-00360,험할
OHE-00361,강이름
OHE-00362,기약할
OHE-00363,"몇,징조"
OHE-00364,바둑
OHE-00365,복
OHE-00366,옥
OHE-00367,옥이름
OHE-00368,즐길
OHE-00369,기
OHE-00370,볕기운
OHE-00371,비단
OHE-00372,키
OHE-00373,경기
OHE-00374,그릇
OHE-00375,바랄
OHE-00376,베틀
OHE-00377,세랄솥
OHE-00378,피변꾸미개옥
OHE-00379,호미
OHE-00380,구슬
OHE-00381,물가
OHE-00382,말탈
OHE-00383,털총이
OHE-00384,기린
OHE-00385,나무랄
OHE-00386,천리마
OHE-00387,팽팽할
OHE-00388,길할
OHE-00389,건장할
OHE-00390,성
OHE-00391,도라지
OHE-00392,쇠금
OHE-00393,능금나무
OHE-00394,잡을
OHE-00395,아름다울
OHE-00396,어지
OHE-00397,허락할
OHE-00398,따뜻할
OHE-00399,따뜻할
OHE-00400,누를
OHE-00401,사내
OHE-00402,남녘
OHE-00403,강이름
OHE-00404,녹나무
OHE-00405,들일
OHE-00406,아가씨
OHE-00407,"이에,발어사"
OHE-00408,안
OHE-00409,견딜
OHE-00410,능금나무
OHE-00411,계집
OHE-00412,해
OHE-00413,생각
OHE-00414,편안할
OHE-00415,힘쓸
OHE-00416,농사
OHE-00417,짙을
OHE-00418,"맬,끈"
OHE-00419,능할
OHE-00420,진흙
OHE-00421,많을
OHE-00422,차
OHE-00423,붉을
OHE-00424,아침
OHE-00425,다만
OHE-00426,층계
OHE-00427,짧을
OHE-00428,홑
OHE-00429,끝
OHE-00430,"둥글,모일"
OHE-00431,비단
OHE-00432,"제터,단"
OHE-00433,단련할
OHE-00434,박달나무
OHE-00435,끊을
OHE-00436,통달할
OHE-00437,묽을
OHE-00438,미칠
OHE-00439,말씀
OHE-00440,깊을
OHE-00441,담박할
OHE-00442,멜
OHE-00443,이야기
OHE-00444,논
OHE-00445,대답할
OHE-00446,당나라
OHE-00447,집
OHE-00448,마땅할
OHE-00449,못
OHE-00450,칠
OHE-00451,무리
OHE-00452,큰
OHE-00453,대신할
OHE-00454,터
OHE-00455,기다릴
OHE-00456,대모(바다거북)
OHE-00457,띠
OHE-00458,자루
OHE-00459,빌릴
OHE-00460,대
OHE-00461,"대답할,짝"
OHE-00462,떼데
OHE-00463,들
OHE-00464,일
OHE-00465,큰
OHE-00466,칼
OHE-00467,이를
OHE-00468,법도
OHE-00469,뛸
OHE-00470,무리
OHE-00471,복숭아
OHE-00472,섬
OHE-00473,담
OHE-00474,건널
OHE-00475,뛸
OHE-00476,"바를,진흙"
OHE-00477,그림
OHE-00478,길
OHE-00479,벼
OHE-00480,길
OHE-00481,도읍
OHE-00482,인도할
OHE-00483,질그릇
OHE-00484,도금할
OHE-00485,밟을
OHE-00486,비출
OHE-00487,큰물결
OHE-00488,빌
OHE-00489,살펴볼
OHE-00490,도타울
OHE-00491,읽을
OHE-00492,도타울
OHE-00493,도타울
OHE-00494,조아릴
OHE-00495,돈대
OHE-00496,"불빛,이글거릴"
OHE-00497,해돋을
OHE-00498,이름
OHE-00499,겨울
OHE-00500,한가지
OHE-00501,동녘
OHE-00502,골짜기
OHE-00503,오동나무
OHE-00504,움직일
OHE-00505,아이
OHE-00506,용마루
OHE-00507,구리
OHE-00508,바로잡을
OHE-00509,강이름
OHE-00510,눈동자
OHE-00511,말
OHE-00512,막을
OHE-00513,콩
OHE-00514,두공
OHE-00515,머리
OHE-00516,진칠
OHE-00517,둔할
OHE-00518,얻을
OHE-00519,무리
OHE-00520,오를
OHE-00521,등불
OHE-00522,나라이름
OHE-00523,오를
OHE-00524,등나무
OHE-00525,소라
OHE-00526,"새그물,펼"
OHE-00527,강이름
OHE-00528,구슬목걸이
OHE-00529,묶을
OHE-00530,즐길
OHE-00531,알
OHE-00532,물결
OHE-00533,빛날
OHE-00534,난초
OHE-00535,넘칠
OHE-00536,쪽
OHE-00537,볼
OHE-00538,물결
OHE-00539,밝을
OHE-00540,옥이름
OHE-00541,사나이
OHE-00542,"옥이름,옥돌"
OHE-00543,올
OHE-00544,산이름
OHE-00545,명아주
OHE-00546,찰
OHE-00547,다스릴
OHE-00548,어질
OHE-00549,"두,둘"
OHE-00550,밝을
OHE-00551,서늘할
OHE-00552,제주
OHE-00553,들보
OHE-00554,서늘할
OHE-00555,헤아릴
OHE-00556,들보
OHE-00557,믿을
OHE-00558,양식
OHE-00559,움틀
OHE-00560,"짝,벗"
OHE-00561,나그네
OHE-00562,검을
OHE-00563,마을
OHE-00564,생각할
OHE-00565,힘쓸
OHE-00566,고울
OHE-00567,힘
OHE-00568,니낼
OHE-00569,책력
OHE-00570,쇠불릴
OHE-00571,연할
OHE-00572,익힐
OHE-00573,불쌍히여길
OHE-00574,단련할
OHE-00575,"연밥,연"
OHE-00576,잇닿을
OHE-00577,사모할
OHE-00578,벌일
OHE-00579,맑을
OHE-00580,매울
OHE-00581,청렴할
OHE-00582,거둘
OHE-00583,"엷을,내이름"
OHE-00584,발
OHE-00585,사냥할
OHE-00586,명령
OHE-00587,영리할
OHE-00588,영리할
OHE-00589,옥소리
OHE-00590,방울
OHE-00591,수없을
OHE-00592,다스릴
OHE-00593,재
OHE-00594,나이
OHE-00595,신령
OHE-00596,법식
OHE-00597,예도
OHE-00598,늙을
OHE-00599,수고로울
OHE-00600,길
OHE-00601,나라이름
OHE-00602,밥그릇
OHE-00603,이슬
OHE-00604,화로
OHE-00605,해오라기
OHE-00606,사슴
OHE-00607,복
OHE-00608,초록및
OHE-00609,기록할
OHE-00610,의논할
OHE-00611,희롱할
OHE-00612,젖을
OHE-00613,옥소리
OHE-00614,대그릇
OHE-00615,우레
OHE-00616,힘입을
OHE-00617,여울
OHE-00618,마침
OHE-00619,헤아릴
OHE-00620,동료
OHE-00621,용
OHE-00622,"여러,묶을"
OHE-00623,여러
OHE-00624,다락
OHE-00625,버들
OHE-00626,머무를
OHE-00627,흐를
OHE-00628,유리
OHE-00629,유황
OHE-00630,유리
OHE-00631,이길
OHE-00632,무리
OHE-00633,여섯
OHE-00634,물
OHE-00635,조리세울
OHE-00636,인륜
OHE-00637,산이름
OHE-00638,실
OHE-00639,바퀴
OHE-00640,법
OHE-00641,밤
OHE-00642,비율
OHE-00643,클
OHE-00644,"찰,추울"
OHE-00645,서슬
OHE-00646,마름
OHE-00647,비단
OHE-00648,큰언덕
OHE-00649,관리
OHE-00650,마을
OHE-00651,오얏
OHE-00652,이로울
OHE-00653,배
OHE-00654,영리할
OHE-00655,다스릴
OHE-00656,말리
OHE-00657,속
OHE-00658,신
OHE-00659,유리
OHE-00660,물맑을
OHE-00661,옥빛
OHE-00662,이웃
OHE-00663,기린
OHE-00664,수풀
OHE-00665,물뿌릴
OHE-00666,옥이름린
OHE-00667,장마
OHE-00668,임할
OHE-00669,설
OHE-00670,낟알
OHE-00671,삿갓
OHE-00672,말
OHE-00673,삼
OHE-00674,마노
OHE-00675,갈
OHE-00676,없을
OHE-00677,장막
OHE-00678,사막
OHE-00679,일만
OHE-00680,끌
OHE-00681,늦을
OHE-00682,일만
OHE-00683,찰
OHE-00684,덩굴
OHE-00685,끝
OHE-00686,말리
OHE-00687,바랄
OHE-00688,그물
OHE-00689,매양
OHE-00690,손아랫누이
OHE-00691,매화나무
OHE-00692,살
OHE-00693,중매
OHE-00694,팔
OHE-00695,보리
OHE-00696,맥
OHE-00697,맏
OHE-00698,사나울
OHE-00699,맹세할
OHE-00700,싹
OHE-00701,면할
OHE-00702,낯
OHE-00703,힘쓸
OHE-00704,면류관
OHE-00705,목화
OHE-00706,솜
OHE-00707,이름
OHE-00708,목숨
OHE-00709,밝을
OHE-00710,바다
OHE-00711,새길
OHE-00712,울
OHE-00713,털
OHE-00714,어머니
OHE-00715,창
OHE-00716,보리
OHE-00717,무릅쓸
OHE-00718,아무
OHE-00719,모을
OHE-00720,모양
OHE-00721,법
OHE-00722,본뜰
OHE-00723,사모할
OHE-00724,저물
OHE-00725,꾀할
OHE-00726,꾀
OHE-00727,나무
OHE-00728,눈
OHE-00729,목욕할
OHE-00730,칠
OHE-00731,화목할
OHE-00732,화목할
OHE-00733,꿈
OHE-00734,어릴
OHE-00735,토끼
OHE-00736,묘할
OHE-00737,싹
OHE-00738,그릴
OHE-00739,닻
OHE-00740,다섯째천간
OHE-00741,굳셀
OHE-00742,엄지손가락
OHE-00743,밭이랑
OHE-00744,무성할
OHE-00745,힘쓸
OHE-00746,바꿀
OHE-00747,없을
OHE-00748,옥돌
OHE-00749,춤출
OHE-00750,어루만질
OHE-00751,힘쓸
OHE-00752,안개
OHE-00753,먹
OHE-00754,말없을
OHE-00755,글월
OHE-00756,문
OHE-00757,무늬
OHE-00758,물을
OHE-00759,들을
OHE-00760,만물
OHE-00761,아닐
OHE-00762,쌀
OHE-00763,꼬리
OHE-00764,맛
OHE-00765,눈썹
OHE-00766,아름다울
OHE-00767,사랑할
OHE-00768,물결무늬
OHE-00769,작을
OHE-00770,두루(널리)
OHE-00771,장미
OHE-00772,백성
OHE-00773,산이름
OHE-00774,온화할
OHE-00775,하늘
OHE-00776,옥돌
OHE-00777,옥돌
OHE-00778,재빠를
OHE-00779,위문할
OHE-00780,총명할
OHE-00781,빽빽할
OHE-00782,꿀
OHE-00783,순박할
OHE-00784,"배댈,묵을"
OHE-00785,손뼉칠
OHE-00786,호박
OHE-00787,큰배(당도리)
OHE-00788,넓을
OHE-00789,두드릴
OHE-00790,옥돌
OHE-00791,엷을
OHE-00792,되돌릴
OHE-00793,반
OHE-00794,짝
OHE-00795,물가반 경계
OHE-00796,옮길
OHE-00797,나눌
OHE-00798,돌아올
OHE-00799,반포할
OHE-00800,밥
OHE-00801,너럭바위
OHE-00802,소반
OHE-00803,강이름반 소용돌이
OHE-00804,뺄
OHE-00805,필
OHE-00806,바다이름
OHE-00807,바리떼
OHE-00808,터럭(머리털)
OHE-00809,활발할
OHE-00810,모
OHE-00811,거닐
OHE-00812,막을
OHE-00813,놓을
OHE-00814,마침(때마침)
OHE-00815,꽃다울
OHE-00816,본받을
OHE-00817,나라
OHE-00818,찾을
OHE-00819,곁
OHE-00820,막을
OHE-00821,클
OHE-00822,잔
OHE-00823,절배 감사할
OHE-00824,갑절
OHE-00825,짝
OHE-00826,등
OHE-00827,북돋을
OHE-00828,물리칠
OHE-00829,물결칠
OHE-00830,성
OHE-00831,무리
OHE-00832,도울
OHE-00833,흰
OHE-00834,일백
OHE-00835,맏
OHE-00836,백사람(의우두머리)
OHE-00837,비단
OHE-00838,측백나무
OHE-00839,갈마들
OHE-00840,많을
OHE-00841,우거질
OHE-00842,날번 엎어질
OHE-00843,칠
OHE-00844,공훈
OHE-00845,무릇
OHE-00846,넘칠
OHE-00847,돛
OHE-00848,뜰
OHE-00849,풀이름
OHE-00850,범
OHE-00851,법
OHE-00852,푸를
OHE-00853,바람벽
OHE-00854,둥근옥
OHE-00855,열
OHE-00856,법
OHE-00857,고깔
OHE-00858,분별할
OHE-00859,말잘할
OHE-00860,가
OHE-00861,변할
OHE-00862,다를
OHE-00863,남녘
OHE-00864,군사
OHE-00865,어우를
OHE-00866,잡을
OHE-00867,밝을
OHE-00868,밝을
OHE-00869,자루
OHE-00870,아우를
OHE-00871,병풍
OHE-00872,자루
OHE-00873,걸을
OHE-00874,클
OHE-00875,보호할
OHE-00876,갚을
OHE-00877,두루
OHE-00878,작은성
OHE-00879,(해진곳을)기울보 도울
OHE-00880,도울
OHE-00881,보살
OHE-00882,물
OHE-00883,보배
OHE-00884,족보
OHE-00885,점
OHE-00886,엎드릴
OHE-00887,옷
OHE-00888,회복할
OHE-00889,복
OHE-00890,겹칠
OHE-00891,향기
OHE-00892,근본
OHE-00893,받들
OHE-00894,봉할
OHE-00895,녹
OHE-00896,봉우리
OHE-00897,봉화
OHE-00898,받들
OHE-00899,벌
OHE-00900,만날
OHE-00901,봉황새
OHE-00902,쑥
OHE-00903,아비
OHE-00904,지아비
OHE-00905,줄
OHE-00906,미쁠
OHE-00907,도울
OHE-00908,마을
OHE-00909,다다를
OHE-00910,연꽃
OHE-00911,뜰
OHE-00912,며느리부 아내
OHE-00913,버금
OHE-00914,넉넉할
OHE-00915,다시
OHE-00916,스승
OHE-00917,붙을
OHE-00918,펼
OHE-00919,펼
OHE-00920,북녘
OHE-00921,나눌
OHE-00922,물이름
OHE-00923,동이
OHE-00924,가루
OHE-00925,향기
OHE-00926,떨칠
OHE-00927,부처
OHE-00928,떨어뜨릴
OHE-00929,벗
OHE-00930,붕새
OHE-00931,견줄
OHE-00932,왕비
OHE-00933,덮을
OHE-00934,비차나무
OHE-00935,선으로 칠
OHE-00936,날
OHE-00937,살찔
OHE-00938,숨길
OHE-00939,갖출
OHE-00940,문짝
OHE-00941,소비할비 비용
OHE-00942,비석
OHE-00943,비파
OHE-00944,비유할
OHE-00945,구슬
OHE-00946,빛날
OHE-00947,빛날
OHE-00948,손
OHE-00949,자주
OHE-00950,물가
OHE-00951,얼음
OHE-00952,부를
OHE-00953,얼음
OHE-00954,선비
OHE-00955,넉
OHE-00956,맡을
OHE-00957,벼슬
OHE-00958,역사
OHE-00959,절
OHE-00960,같을
OHE-00961,사사
OHE-00962,모래
OHE-00963,일
OHE-00964,제사
OHE-00965,집
OHE-00966,토지의신사 단체
OHE-00967,하여금
OHE-00968,생각할
OHE-00969,조사할
OHE-00970,깁
OHE-00971,스승사ㅣ
OHE-00972,쏠
OHE-00973,춤출
OHE-00974,비낄
OHE-00975,옮길
OHE-00976,말
OHE-00977,버릴
OHE-00978,실
OHE-00979,이
OHE-00980,이을
OHE-00981,베낄
OHE-00982,줄
OHE-00983,말씀
OHE-00984,깎을(잘라낼)
OHE-00985,뫼
OHE-00986,산호
OHE-00987,낳을
OHE-00988,셈할
OHE-00989,신맛
OHE-00990,보살
OHE-00991,석
OHE-00992,삼나무
OHE-00993,적삼
OHE-00994,석
OHE-00995,나무빽빽할
OHE-00996,인삼
OHE-00997,꽃을
OHE-00998,위
OHE-00999,승상할
OHE-01000,형상
OHE-01001,서로
OHE-01002,학교
OHE-01003,뽕나무
OHE-01004,상서로울
OHE-01005,시원할
OHE-01006,장사
OHE-01007,항상
OHE-01008,날
OHE-01009,코끼리
OHE-01010,강이름
OHE-01011,생각할
OHE-01012,자세할
OHE-01013,맛볼상 일찍
OHE-01014,치마
OHE-01015,형상
OHE-01016,상자
OHE-01017,상줄
OHE-01018,갚을
OHE-01019,서리
OHE-01020,쌍
OHE-01021,변방
OHE-01022,빛
OHE-01023,찾을
OHE-01024,거둘
OHE-01025,날
OHE-01026,서녘
OHE-01027,차례
OHE-01028,펼
OHE-01029,글
OHE-01030,용서할
OHE-01031,천천히할
OHE-01032,뭇
OHE-01033,차례
OHE-01034,깃들일
OHE-01035,펼
OHE-01036,더울
OHE-01037,맹세할
OHE-01038,상서
OHE-01039,관청
OHE-01040,실마리
OHE-01041,새벽
OHE-01042,저녁
OHE-01043,돌
OHE-01044,썰물
OHE-01045,가를
OHE-01046,옛
OHE-01047,자리
OHE-01048,밝을
OHE-01049,쌀일
OHE-01050,아낄
OHE-01051,클
OHE-01052,클
OHE-01053,주석
OHE-01054,풀
OHE-01055,신선
OHE-01056,먼저
OHE-01057,베풀
OHE-01058,부채
OHE-01059,돌
OHE-01060,배
OHE-01061,옥
OHE-01062,착할
OHE-01063,바림
OHE-01064,부러워할
OHE-01065,도리옥
OHE-01066,무쇠
OHE-01067,고울
OHE-01068,줄
OHE-01069,아름다운옥
OHE-01070,고요할
OHE-01071,고울
OHE-01072,기울 깁다
OHE-01073,가릴
OHE-01074,아름다운옥
OHE-01075,혀
OHE-01076,눈
OHE-01077,베풀
OHE-01078,은나라시조이름
OHE-01079,문설주
OHE-01080,말씀
OHE-01081,맑은대쑥
OHE-01082,해돋을
OHE-01083,가늘
OHE-01084,건널
OHE-01085,땅이름
OHE-01086,불꽃
OHE-01087,끌어당길
OHE-01088,이룰
OHE-01089,성
OHE-01090,별
OHE-01091,살필
OHE-01092,성품
OHE-01093,성
OHE-01094,밝을
OHE-01095,성할
OHE-01096,옥이름
OHE-01097,깨달을
OHE-01098,성인
OHE-01099,정성
OHE-01100,소리
OHE-01101,인간
OHE-01102,씻을
OHE-01103,가늘
OHE-01104,기세
OHE-01105,해
OHE-01106,작을
OHE-01107,젊을소 적을
OHE-01108,부를
OHE-01109,바
OHE-01110,밝을
OHE-01111,밝을
OHE-01112,웃을
OHE-01113,흴
OHE-01114,이을
OHE-01115,트일
OHE-01116,고을이름
OHE-01117,아름다울
OHE-01118,불사를
OHE-01119,차조기
OHE-01120,묶을
OHE-01121,빠를
OHE-01122,이을
OHE-01123,손자
OHE-01124,겸손할
OHE-01125,거느릴
OHE-01126,거느릴
OHE-01127,송나라
OHE-01128,소나무
OHE-01129,칭송할
OHE-01130,쇠
OHE-01131,물
OHE-01132,손
OHE-01133,거둘
OHE-01134,지킬
OHE-01135,빼어날
OHE-01136,드리울
OHE-01137,받을
OHE-01138,머리
OHE-01139,장수
OHE-01140,강이름
OHE-01141,다를
OHE-01142,닦을
OHE-01143,옥돌
OHE-01144,줄
OHE-01145,구할
OHE-01146,목숨
OHE-01147,무게단위
OHE-01148,순수할
OHE-01149,수
OHE-01150,나를
OHE-01151,나무
OHE-01152,이룰할수 드디어
OHE-01153,이삭
OHE-01154,수놓을
OHE-01155,따를
OHE-01156,아재비
OHE-01157,맑을
OHE-01158,엄숙할
OHE-01159,옥이름
OHE-01160,익을
OHE-01161,옥그릇
OHE-01162,열흘
OHE-01163,방패
OHE-01164,순수할
OHE-01165,참으로
OHE-01166,옥그릇
OHE-01167,돌
OHE-01168,순박할
OHE-01169,순임금
OHE-01170,순할
OHE-01171,타이를
OHE-01172,악기이름
OHE-01173,재주
OHE-01174,지을
OHE-01175,높을
OHE-01176,높을
OHE-01177,큰거문고
OHE-01178,주울
OHE-01179,익힐
OHE-01180,젖을
OHE-01181,되
OHE-01182,도울
OHE-01183,오를
OHE-01184,이을
OHE-01185,탈
OHE-01186,이길
OHE-01187,오를
OHE-01188,보일
OHE-01189,저자
OHE-01190,비로서
OHE-01191,베풀
OHE-01192,섶나무
OHE-01193,옳을
OHE-01194,때
OHE-01195,의지할
OHE-01196,불
OHE-01197,시
OHE-01198,시험할
OHE-01199,성
OHE-01200,법
OHE-01201,밥
OHE-01202,휴식
OHE-01203,심을
OHE-01204,이식 진실로
OHE-01205,물맑을
OHE-01206,수레앞턱가로나무
OHE-01207,알
OHE-01208,납
OHE-01209,신하
OHE-01210,매울
OHE-01211,몸
OHE-01212,펼
OHE-01213,믿을
OHE-01214,귀신
OHE-01215,물을
OHE-01216,빠를
OHE-01217,새벽
OHE-01218,큰띠
OHE-01219,새
OHE-01220,삼갈
OHE-01221,집
OHE-01222,열매
OHE-01223,마음
OHE-01224,성
OHE-01225,스며들
OHE-01226,깊을
OHE-01227,찾을
OHE-01228,살필
OHE-01229,열사람
OHE-01230,열
OHE-01231,열
OHE-01232,어금니
OHE-01233,나
OHE-01234,버금
OHE-01235,아이
OHE-01236,싹
OHE-01237,예쁠
OHE-01238,바를
OHE-01239,언덕
OHE-01240,큰산
OHE-01241,흰흙
OHE-01242,풍류
OHE-01243,큰산
OHE-01244,편안할
OHE-01245,언덕
OHE-01246,누를
OHE-01247,편안할
OHE-01248,생각할
OHE-01249,얼굴
OHE-01250,뵈올
OHE-01251,바위
OHE-01252,찍을
OHE-01253,누를
OHE-01254,가운데
OHE-01255,우러러볼
OHE-01256,오를
OHE-01257,원앙
OHE-01258,언덕
OHE-01259,물가
OHE-01260,사랑
OHE-01261,진액
OHE-01262,이마
OHE-01263,꾀꼬리
OHE-01264,앵두나무
OHE-01265,쇠불릴
OHE-01266,들
OHE-01267,묶을
OHE-01268,같을
OHE-01269,뛸
OHE-01270,약
OHE-01271,양
